id,cat_id,style_name,last_mod
1,1,Classic English-Style Pale Ale,10/24/2010 13:53
2,1,English-Style India Pale Ale,6/15/2010 19:14
3,1,Ordinary Bitter,6/15/2010 19:14
4,1,Special Bitter or Best Bitter,6/15/2010 19:15
5,1,Extra Special Bitter,6/15/2010 19:15
6,1,English-Style Summer Ale,6/15/2010 19:15
7,1,Scottish-Style Light Ale,6/15/2010 19:15
8,1,Scottish-Style Heavy Ale,6/15/2010 19:15
9,1,Scottish-Style Export Ale,6/15/2010 19:15
10,1,English-Style Pale Mild Ale,6/15/2010 19:16
11,1,English-Style Dark Mild Ale,6/15/2010 19:16
12,1,English-Style Brown Ale,6/15/2010 19:16
13,1,Old Ale,6/15/2010 19:16
14,1,Strong Ale,6/15/2010 19:16
15,1,Scotch Ale,6/15/2010 19:16
16,1,British-Style Imperial Stout,6/15/2010 19:17
17,1,British-Style Barley Wine Ale,6/15/2010 19:17
18,1,Robust Porter,6/15/2010 19:17
19,1,Brown Porter,6/15/2010 19:17
20,1,Sweet Stout,6/15/2010 19:17
21,1,Oatmeal Stout,6/15/2010 19:17
22,2,Irish-Style Red Ale,6/15/2010 19:21
23,2,Classic Irish-Style Dry Stout,6/15/2010 19:21
24,2,Foreign (Export)-Style Stout,6/15/2010 19:21
25,2,Porter,6/15/2010 19:21
26,3,American-Style Pale Ale,6/15/2010 19:22
27,3,Fresh Hop Ale,6/15/2010 19:22
28,3,Pale American-Belgo-Style Ale,6/15/2010 19:22
29,3,Dark American-Belgo-Style Ale,6/15/2010 19:23
30,3,American-Style Strong Pale Ale,6/15/2010 19:23
31,3,American-Style India Pale Ale,6/15/2010 19:23
32,3,Imperial or Double India Pale Ale,6/15/2010 19:23
33,3,American-Style Amber/Red Ale,6/15/2010 19:23
34,3,Imperial or Double Red Ale,6/15/2010 19:23
35,3,American-Style Barley Wine Ale,6/15/2010 19:23
36,3,American-Style Wheat Wine Ale,6/15/2010 19:24
37,3,Golden or Blonde Ale,6/15/2010 19:24
38,3,American-Style Brown Ale,6/15/2010 19:24
39,3,Smoke Porter,6/15/2010 19:24
40,3,American-Style Sour Ale,6/15/2010 19:24
41,3,American-Style India Black Ale,6/15/2010 19:25
42,3,American-Style Stout,6/15/2010 19:25
43,3,American-Style Imperial Stout,6/15/2010 19:25
44,3,Specialty Stouts,6/15/2010 19:25
45,3,American-Style Imperial Porter,6/15/2010 19:25
47,4,German-Style Kolsch,6/15/2010 20:43
48,4,Berliner-Style Weisse,6/15/2010 19:29
49,4,Leipzig-Style Gose,6/15/2010 19:29
50,4,South German-Style Hefeweizen,6/15/2010 19:29
51,4,South German-Style Kristal Weizen,6/15/2010 19:29
52,4,German-Style Leichtes Weizen,6/15/2010 19:30
53,4,South German-Style Bernsteinfarbenes Weizen,6/15/2010 19:30
54,4,South German-Style Dunkel Weizen,6/15/2010 19:30
55,4,South German-Style Weizenbock,6/15/2010 19:30
56,4,Bamberg-Style Weiss Rauchbier,6/15/2010 19:30
57,4,German-Style Brown Ale/Altbier,7/11/2010 16:08
58,4,Kellerbier - Ale,6/15/2010 19:38
59,5,Belgian-Style Flanders/Oud Bruin,6/15/2010 19:32
60,5,Belgian-Style Dubbel,6/15/2010 19:32
61,5,Belgian-Style Tripel,6/15/2010 19:32
62,5,Belgian-Style Quadrupel,6/15/2010 19:32
63,5,Belgian-Style Blonde Ale,6/15/2010 19:32
64,5,Belgian-Style Pale Ale,6/15/2010 19:32
65,5,Belgian-Style Pale Strong Ale,6/15/2010 19:32
66,5,Belgian-Style Dark Strong Ale,6/15/2010 19:33
67,5,Belgian-Style White,6/15/2010 19:33
68,5,Belgian-Style Lambic,6/15/2010 19:33
69,5,Belgian-Style Gueuze Lambic,6/15/2010 19:33
70,5,Belgian-Style Fruit Lambic,6/15/2010 19:34
71,5,Belgian-Style Table Beer,6/15/2010 19:34
72,5,Other Belgian-Style Ales,6/15/2010 19:34
73,5,French-Style Biere de Garde,7/11/2010 15:55
74,5,French & Belgian-Style Saison,6/15/2010 19:34
75,6,International-Style Pale Ale,6/15/2010 19:34
76,6,Australasian-Style Pale Ale,6/15/2010 19:35
77,7,German-Style Pilsener,6/15/2010 19:35
78,7,Bohemian-Style Pilsener,6/15/2010 19:35
79,7,European Low-Alcohol Lager,6/15/2010 19:36
80,7,Munchner-Style Helles,6/15/2010 19:39
81,7,Dortmunder/European-Style Export,6/15/2010 19:36
82,7,Vienna-Style Lager,6/15/2010 19:36
83,7,German-Style Marzen,7/8/2010 17:59
84,7,German-Style Oktoberfest,6/15/2010 19:37
85,7,European-Style Dark,6/15/2010 19:37
86,7,German-Style Schwarzbier,6/15/2010 19:37
87,7,Bamberg-Style Marzen,7/8/2010 17:59
88,7,Bamberg-Style Helles Rauchbier,6/15/2010 19:37
89,7,Bamberg-Style Bock Rauchbier,6/15/2010 19:37
90,7,Traditional German-Style Bock,6/15/2010 19:38
91,7,German-Style Heller Bock/Maibock,6/15/2010 19:38
92,7,German-Style Doppelbock,6/15/2010 19:38
93,7,German-Style Eisbock,6/15/2010 19:38
94,7,Kellerbier - Lager,6/15/2010 19:38
95,8,American-Style Lager,6/15/2010 19:40
96,8,American-Style Light Lager,6/15/2010 19:40
97,8,American-Style Low-Carb Light Lager,6/15/2010 19:41
99,8,American-Style Premium Lager,6/15/2010 19:41
100,8,American-Style Pilsener,6/15/2010 19:41
101,8,American-Style Ice Lager,6/15/2010 19:41
102,8,American-Style Malt Liquor,6/15/2010 19:41
103,8,American-Style Amber Lager,6/15/2010 19:41
104,8,American-Style Marzen/Oktoberfest,6/15/2010 19:44
105,8,American-Style Dark Lager,6/15/2010 19:42
106,9,Baltic-Style Porter,6/15/2010 19:42
107,9,Australasian-Style Light Lager,6/15/2010 19:44
108,9,Latin American-Style Light Lager,6/15/2010 19:43
109,9,Tropical-Style Light Lager,6/15/2010 19:43
110,10,International-Style Pilsener,6/15/2010 19:43
111,10,Dry Lager,6/15/2010 19:43
112,11,Session Beer,6/15/2010 19:45
113,11,American-Style Cream Ale or Lager,6/15/2010 19:45
114,11,California Common Beer,6/15/2010 19:45
115,11,Japanese Sake-Yeast Beer,6/15/2010 19:45
116,11,Light American Wheat Ale or Lager,6/15/2010 19:45
117,11,Fruit Wheat Ale or Lager,6/15/2010 19:45
118,11,Dark American Wheat Ale or Lager,6/15/2010 19:46
119,11,American Rye Ale or Lager,6/15/2010 19:46
120,11,German-Style Rye Ale,6/15/2010 19:46
121,11,Fruit Beer,6/15/2010 19:46
122,11,Field Beer,6/15/2010 19:46
123,11,Pumpkin Beer,6/15/2010 19:47
124,11,Chocolate/Cocoa-Flavored Beer,6/15/2010 19:47
125,11,Coffee-Flavored Beer,6/15/2010 19:47
126,11,Herb and Spice Beer,6/15/2010 19:47
127,11,Specialty Beer,6/15/2010 19:47
128,11,Specialty Honey Lager or Ale,6/15/2010 19:47
129,11,Gluten-Free Beer,6/15/2010 19:48
130,11,Smoke Beer,6/15/2010 19:48
131,11,Experimental Beer,6/15/2010 19:48
132,11,Out of Category,6/15/2010 19:48
